ID,Date,Temperature(C),Humidity(%),WindSpeed(km/h),Rain(mm),TrafficVolume(vehicles/hour),NO2(µg/m3),SO2(µg/m3),CO(mg/m3),PM2.5(µg/m3),PM10(µg/m3),Season,Region,AQI_PM2.5,AQI_PM10,AQI_NO2,AQI_SO2,AQI_CO,AQI Value,AQI Category,Country,lat,lng
11,2023-01-11,27.7,61.1,15.0,0.6,3071.0,33.8,13.6,1.04,77.3,134.9,Fall,Urban,162.3,90.5,31.9,19.4,11.8,162.3,Unhealthy,Portugal,38.7167,-9.1399
12,2023-01-12,27.7,49.2,15.9,2.0,796.0,41.7,15.5,0.97,67.7,119.2,Winter,Urban,157.3,82.8,39.3,22.1,11.0,157.3,Unhealthy,Serbia,44.804,20.4651
13,2023-01-13,31.2,58.2,9.6,4.5,1218.0,36.1,15.4,1.09,42.0,92.6,Winter,Rural,117.0,69.6,34.1,22.0,12.4,117.0,Unhealthy for Sensitive Groups,Poland,52.0,20.5
14,2023-01-14,20.4,64.0,12.4,2.9,3636.0,44.2,17.7,1.13,69.5,115.1,Summer,Rural,158.2,80.7,41.7,25.3,12.8,158.2,Unhealthy,Bulgaria,42.5,23.0
15,2023-01-15,21.4,63.6,15.0,0.5,3579.0,39.5,18.3,0.5,74.2,85.3,Summer,Urban,160.7,66.0,37.3,26.1,5.7,160.7,Unhealthy,Romania,44.4323,26.1063
16,2023-01-16,27.2,65.0,14.0,3.3,510.0,42.0,15.5,0.61,41.4,94.4,Spring,Rural,115.5,70.5,39.6,22.1,6.9,115.5,Unhealthy for Sensitive Groups,Netherlands,53.1,5.5
17,2023-01-17,24.9,62.9,21.4,1.2,910.0,33.0,15.6,1.23,26.0,129.3,Summer,Rural,80.2,87.8,31.1,22.3,14.0,87.8,Moderate,Bosnia and Herzegovina,44.0,17.9
18,2023-01-18,31.6,54.9,16.1,3.8,3439.0,41.9,16.1,1.46,44.4,107.8,Spring,Urban,122.9,77.1,39.5,23.0,16.6,122.9,Unhealthy for Sensitive Groups,United Kingdom,51.5074,-0.1278
19,2023-01-19,25.5,54.9,19.3,7.1,3154.0,51.1,23.2,0.71,58.5,113.2,Winter,Rural,152.5,79.8,48.2,33.1,8.1,152.5,Unhealthy,Poland,52.0,20.5
20,2023-01-20,22.9,48.0,15.04141700404858,1.3,3686.0,34.3,6.4,1.08,75.1,123.4,Summer,Rural,161.1,84.9,32.4,9.1,12.3,161.1,Unhealthy,Denmark,55.5,12.0
21,2023-01-21,37.3,77.8,20.3,3.6,3950.0,49.2,10.2,1.24,46.6,111.0,Spring,Urban,128.3,78.7,46.4,14.6,14.1,128.3,Unhealthy for Sensitive Groups,Finland,60.1695,24.9355
22,2023-01-22,28.9,60.1,17.0,0.5,1098.0,39.5,18.4,1.07,68.3,83.8,Winter,Rural,157.6,65.3,37.3,26.3,12.2,157.6,Unhealthy,North Macedonia,41.8,21.2
23,2023-01-23,30.3,57.8,15.1,1.8,1323.0,47.3,16.3,0.93,16.6,133.2,Spring,Rural,60.5,89.7,44.6,23.3,10.6,89.7,Moderate,Spain,37.5,-4.5
24,2023-01-24,22.9,50.7,14.9,2.1,2897.0,41.3,16.3,0.81,62.7,110.3,Winter,Rural,154.7,78.4,39.0,23.3,9.2,154.7,Unhealthy,Finland,61.0,24.0
25,2023-01-25,27.3,89.4,10.2,1.6,4614.0,39.7,18.3,1.6,53.9,111.7,Spring,Rural,146.3,79.1,37.5,26.1,18.2,146.3,Unhealthy for Sensitive Groups,Portugal,38.5,-8.0
26,2023-01-26,30.6,49.3,17.5,6.9,812.0,43.5,16.1,1.03,91.5,101.1,Fall,Urban,169.6,73.8,41.0,23.0,11.7,169.6,Unhealthy,Serbia,44.804,20.4651
27,2023-01-27,24.2,55.7,14.8,1.4,3474.0,52.1,12.2,1.12,31.6,122.2,Winter,Urban,92.0,84.3,49.2,17.4,12.7,92.0,Moderate,Serbia,44.804,20.4651
28,2023-01-28,31.9,64.2,12.5,3.2,4238.0,42.4,18.1,1.1,59.8,138.3,Winter,Rural,153.2,92.2,40.0,25.9,12.5,153.2,Unhealthy,Austria,47.5,11.5
29,2023-01-29,27.0,66.0,20.5,1.9,2992.0,44.8,15.1,0.76,31.5,92.5,Spring,Rural,91.8,69.6,42.3,21.6,8.6,91.8,Moderate,Serbia,44.5,20.2
30,2023-01-30,28.5,69.6,8.7,2.9,2445.0,36.3,12.8,1.02,51.8,121.3,Winter,Urban,141.1,83.8,34.2,18.3,11.6,141.1,Unhealthy for Sensitive Groups,Italy,41.8919,12.5113
31,2023-01-31,27.0,78.1,12.9,4.3,730.0,55.7,18.5,0.9,34.5,100.7,Spring,Rural,98.1,73.6,52.8,26.4,10.2,98.1,Moderate,Netherlands,53.1,5.5
32,2023-02-01,39.3,65.1,20.1,0.9,4240.0,46.4,18.3,0.9,94.5,60.0,Winter,Rural,171.1,53.5,43.8,26.1,10.2,171.1,Unhealthy,Belgium,51.0,4.0
33,2023-02-02,29.9,49.4,16.6,3.0,3172.0,40.8,16.1,1.1,54.7,71.9,Summer,Rural,148.3,59.4,38.5,23.0,12.5,148.3,Unhealthy for Sensitive Groups,Germany,48.8,11.5
34,2023-02-03,24.7,57.4,14.8,1.9,3954.0,38.8,23.6,0.73,56.8,108.5,Summer,Rural,151.7,77.5,36.6,33.7,8.3,151.7,Unhealthy,Bulgaria,42.5,23.0
35,2023-02-04,34.1,63.1,16.3,2.0,4083.0,49.8,21.6,0.64,59.4,120.2,Spring,Rural,153.0,83.3,47.0,30.9,7.3,153.0,Unhealthy,Serbia,44.5,20.2
36,2023-02-05,23.9,80.7,15.9,3.4,543.0,33.9,20.0,1.15,43.0,112.2,Fall,Rural,119.5,79.3,32.0,28.6,13.1,119.5,Unhealthy for Sensitive Groups,Portugal,38.5,-8.0
37,2023-02-06,31.0,46.0,7.4,6.0,3424.0,22.2,27.8,0.84,75.8,115.4,Summer,Urban,161.5,80.9,20.9,39.7,9.5,161.5,Unhealthy,Romania,44.4323,26.1063
38,2023-02-07,20.2,72.0,13.3,1.2,4193.0,40.7,14.3,0.9,69.6,151.8,Summer,Rural,158.3,98.9,38.4,20.4,10.2,158.3,Unhealthy,Poland,52.0,20.5
39,2023-02-08,23.4,61.8,23.1,0.3,2770.0,51.9,12.7,0.42,73.8,110.6,Winter,Urban,160.4,78.5,49.0,18.1,4.8,160.4,Unhealthy,Poland,52.2298,21.0118
40,2023-02-09,31.0,68.4,11.7,0.3,3957.0,55.9,19.3,1.29,41.7,94.7,Fall,Rural,116.3,70.6,53.0,27.6,14.7,116.3,Unhealthy for Sensitive Groups,Bosnia and Herzegovina,44.0,17.9
41,2023-02-10,33.7,59.0,13.4,2.4,3449.0,38.9,13.7,1.16,77.0,97.5,Fall,Urban,162.1,72.0,36.7,19.6,13.2,162.1,Unhealthy,North Macedonia,41.9965,21.4314
42,2023-02-11,30.9,51.6,12.3,3.0,2818.0,40.4,15.1,1.21,75.3,132.7,Fall,Rural,161.2,89.5,38.1,21.6,13.8,161.2,Unhealthy,Denmark,55.5,12.0
43,2023-02-12,29.4,67.5,14.6,0.9,3885.0,45.2,10.1,1.12,56.5,74.6,Fall,Urban,151.5,60.7,42.6,14.4,12.7,151.5,Unhealthy,Bulgaria,42.6975,23.3242
44,2023-02-13,28.5,66.5,12.1,3.6,2794.0,37.4,18.0,0.55,73.4,124.8,Fall,Rural,160.2,85.5,35.3,25.7,6.2,160.2,Unhealthy,Netherlands,53.1,5.5
45,2023-02-14,22.6,69.7,15.04141700404858,2.9,3495.0,45.2,7.6,1.07,64.1,100.3,Fall,Rural,155.4,73.4,42.6,10.9,12.2,155.4,Unhealthy,North Macedonia,41.8,21.2
46,2023-02-15,26.4,59.9,15.04141700404858,2.1,4138.0,39.1,14.5,0.82,36.1,83.4,Summer,Rural,102.5,65.1,36.9,20.7,9.3,102.5,Unhealthy for Sensitive Groups,North Macedonia,41.8,21.2
47,2023-02-16,27.7,54.0,18.9,0.2,3867.0,50.1,14.9,0.71,57.3,71.0,Spring,Rural,151.9,58.9,47.3,21.3,8.1,151.9,Unhealthy,Poland,52.0,20.5
48,2023-02-17,35.3,44.4,15.04141700404858,1.0,3784.0,47.2,12.8,1.15,52.8,129.6,Spring,Rural,143.6,87.9,44.5,18.3,13.1,143.6,Unhealthy for Sensitive Groups,Romania,46.5,24.5
49,2023-02-18,31.7,68.2,13.3,2.9,2842.0,48.1,6.2,1.5,61.3,82.9,Fall,Urban,154.0,64.8,45.4,8.9,17.0,154.0,Unhealthy,France,48.8534,2.3488
50,2023-02-19,21.2,64.2,13.9,2.5,2764.911133603239,37.9,6.2,1.45,75.3,101.2,Winter,Rural,161.2,73.9,35.8,8.9,16.5,161.2,Unhealthy,Portugal,38.5,-8.0
51,2023-02-20,31.6,50.3,17.3,2.1,4841.0,59.3,11.3,1.19,35.4,80.5,Summer,Urban,100.0,63.6,56.6,16.1,13.5,100.0,Moderate,North Macedonia,41.9965,21.4314
52,2023-02-21,28.1,54.6,11.0,2.4,2139.0,44.8,17.7,0.99,53.3,139.3,Winter,Rural,144.8,92.7,42.3,25.3,11.2,144.8,Unhealthy for Sensitive Groups,United Kingdom,54.0,-1.5
53,2023-02-22,26.6,55.3,19.6,3.0,1116.0,42.5,16.4,0.94,47.7,102.0,Summer,Rural,131.0,74.3,40.1,23.4,10.7,131.0,Unhealthy for Sensitive Groups,France,49.2,0.5
54,2023-02-23,33.1,45.2,20.9,2.8,739.0,32.4,14.9,0.73,48.3,73.1,Summer,Urban,132.5,60.0,30.6,21.3,8.3,132.5,Unhealthy for Sensitive Groups,Bosnia and Herzegovina,43.8486,18.3564
55,2023-02-24,35.2,51.8,10.1,1.8,4993.0,39.0,10.6,0.92,47.7,91.4,Summer,Rural,131.0,69.0,36.8,15.1,10.5,131.0,Unhealthy for Sensitive Groups,Spain,37.5,-4.5
56,2023-02-25,34.7,48.7,12.5,2.1,2356.0,41.1,16.7,1.27,61.0,127.9,Winter,Urban,153.8,87.1,38.8,23.9,14.4,153.8,Unhealthy,Bulgaria,42.6975,23.3242
57,2023-02-26,25.8,55.9,12.3,0.8,1422.0,32.1,6.0,1.55,67.8,80.5,Winter,Urban,157.4,63.6,30.3,8.6,17.6,157.4,Unhealthy,Bulgaria,42.6975,23.3242
58,2023-02-27,28.5,52.6,28.2,0.8,2404.0,37.1,3.0,0.76,65.2,92.8,Fall,Rural,156.0,69.7,35.0,4.3,8.6,156.0,Unhealthy,Denmark,55.5,12.0
59,2023-02-28,31.7,43.7,12.9,2.1,3649.0,38.3,13.8,0.4,62.8,123.7,Summer,Urban,154.8,85.0,36.1,19.7,4.5,154.8,Unhealthy,Belgium,50.8505,4.3488
60,2023-03-01,34.9,80.2,23.4,0.5,1312.0,40.6,12.3,0.84,69.3,106.8,Spring,Urban,158.1,76.6,38.3,17.6,9.5,158.1,Unhealthy,Sweden,59.3293,18.0686
61,2023-03-02,27.6,72.5,8.7,3.7,2230.0,22.4,20.1,1.27,95.7,75.6,Summer,Urban,171.8,61.2,21.1,28.7,14.4,171.8,Unhealthy,Netherlands,52.374,4.8897
62,2023-03-03,29.1,52.2,10.1,0.7,1331.0,38.6,15.8,1.62,62.0,104.5,Spring,Urban,154.4,75.5,36.4,22.6,18.4,154.4,Unhealthy,Portugal,38.7167,-9.1399
63,2023-03-04,24.5,62.7,11.6,2.4,3924.0,36.2,23.3,1.39,75.3,96.9,Fall,Rural,161.2,71.7,34.2,33.3,15.8,161.2,Unhealthy,Bosnia and Herzegovina,44.0,17.9
64,2023-03-05,24.0,64.2,10.8,2.2,2707.0,39.8,12.3,1.39,74.5,101.0,Fall,Rural,160.8,73.8,37.5,17.6,15.8,160.8,Unhealthy,Romania,46.5,24.5
65,2023-03-06,34.1,71.9,13.7,3.5,3932.0,50.4,17.4,0.75,86.7,118.9,Fall,Rural,167.1,82.6,47.5,24.9,8.5,167.1,Unhealthy,Poland,52.0,20.5
66,2023-03-07,36.8,51.8,11.5,3.8,3868.0,60.5,13.7,0.75,68.4,104.8,Summer,Urban,157.7,75.6,57.9,19.6,8.5,157.7,Unhealthy,Portugal,38.7167,-9.1399
67,2023-03-08,29.6,70.9,15.04141700404858,3.4,2727.0,46.8,21.9,0.6,47.3,98.1,Summer,Urban,130.1,72.3,44.2,31.3,6.8,130.1,Unhealthy for Sensitive Groups,Finland,60.1695,24.9355
68,2023-03-09,35.0,54.5,20.8,2.2,2760.0,27.7,14.0,0.8,64.6,97.2,Spring,Rural,155.7,71.9,26.1,20.0,9.1,155.7,Unhealthy,Italy,41.6,12.3
69,2023-03-10,31.8,46.6,21.1,4.4,3417.0,36.5,19.3,1.27,63.8,121.5,Spring,Rural,155.3,83.9,34.4,27.6,14.4,155.3,Unhealthy,Portugal,38.5,-8.0
70,2023-03-11,26.8,67.2,19.7,5.1,4020.0,46.0,9.6,1.49,72.2,85.6,Winter,Urban,159.6,66.1,43.4,13.7,16.9,159.6,Unhealthy,Bulgaria,42.6975,23.3242
71,2023-03-12,31.8,72.9,17.6,1.0,4880.0,44.8,12.9,1.1,46.9,56.6,Spring,Rural,129.1,51.8,42.3,18.4,12.5,129.1,Unhealthy for Sensitive Groups,France,49.2,0.5
72,2023-03-13,37.7,85.9,15.5,2.5,3208.0,49.9,14.6,0.92,79.0,95.5,Fall,Urban,163.1,71.0,47.1,20.9,10.5,163.1,Unhealthy,Denmark,55.6759,12.5655
73,2023-03-14,29.8,48.0,12.5,0.2,2320.0,39.0,21.3,0.68,60.1,107.6,Summer,Rural,153.4,77.0,36.8,30.4,7.7,153.4,Unhealthy,Portugal,38.5,-8.0
74,2023-03-15,37.8,67.0,10.2,1.9,1148.0,36.4,4.0,0.97,72.6,91.7,Winter,Rural,159.8,69.2,34.3,5.7,11.0,159.8,Unhealthy,Poland,52.0,20.5
75,2023-03-16,16.9,55.9,16.8,0.5,688.0,57.5,13.3,1.06,64.6,89.5,Summer,Rural,155.7,68.1,54.7,19.0,12.0,155.7,Unhealthy,Czech Republic,49.8,14.2
76,2023-03-17,34.1,67.8,9.1,0.9,1722.0,40.6,13.2,0.56,61.8,92.7,Fall,Rural,154.3,69.7,38.3,18.9,6.4,154.3,Unhealthy,Denmark,55.5,12.0
77,2023-03-18,30.4,45.3,10.0,1.3,978.0,29.8,4.6,1.28,63.5,99.5,Fall,Urban,155.1,73.0,28.1,6.6,14.5,155.1,Unhealthy,Poland,52.2298,21.0118
78,2023-03-19,28.5,47.4,20.8,0.1,3562.0,54.8,12.7,0.87,70.1,74.0,Fall,Urban,158.5,60.4,51.9,18.1,9.9,158.5,Unhealthy,Germany,52.52,13.405
79,2023-03-20,30.5,52.2,24.5,0.5,2525.0,25.0,7.3,1.26,89.4,113.2,Winter,Rural,168.5,79.8,23.6,10.4,14.3,168.5,Unhealthy,Czech Republic,49.8,14.2
80,2023-03-21,20.1,60.8,17.0,2.0,2388.0,5.0,3.3,1.0,29.7,46.8,Summer,Urban,88.0,43.3,4.7,4.7,11.4,88.0,Moderate,Finland,60.1695,24.9355
81,2023-03-22,28.9,53.6,20.5,0.5,2050.0,47.7,13.7,1.09,68.1,110.8,Spring,Urban,157.5,78.6,45.0,19.6,12.4,157.5,Unhealthy,United Kingdom,51.5074,-0.1278
82,2023-03-23,31.8,66.6,13.8,3.1,3416.0,49.1,13.5,0.79,60.7,106.3,Summer,Urban,153.7,76.4,46.3,19.3,9.0,153.7,Unhealthy,Spain,40.4165,-3.7026
83,2023-03-24,37.4,70.3,8.3,3.4,3755.0,44.1,13.8,0.9,57.3,109.9,Summer,Urban,151.9,78.2,41.6,19.7,10.2,151.9,Unhealthy,United Kingdom,51.5074,-0.1278
84,2023-03-25,27.4,66.0,18.1,6.8,3306.0,27.0,16.3,1.19,24.6,61.4,Winter,Rural,77.3,54.2,25.5,23.3,13.5,77.3,Moderate,Italy,41.6,12.3
85,2023-03-26,26.0,76.2,17.8,4.3,533.0,39.4,10.6,0.96,68.7,105.9,Spring,Urban,157.8,76.2,37.2,15.1,10.9,157.8,Unhealthy,Austria,48.2085,16.3721
86,2023-03-27,27.5,64.2,15.4,2.5,2764.911133603239,37.2,24.0,0.67,58.1,89.1,Spring,Rural,152.3,67.9,35.1,34.3,7.6,152.3,Unhealthy,Bulgaria,42.5,23.0
87,2023-03-28,34.6,47.8,15.04141700404858,0.8,3000.0,34.6,14.8,1.03,47.5,132.0,Summer,Rural,130.5,89.1,32.6,21.1,11.7,130.5,Unhealthy for Sensitive Groups,Belgium,51.0,4.0
88,2023-03-29,31.6,73.6,19.8,2.6,4279.0,54.1,21.4,1.12,60.6,107.2,Fall,Urban,153.6,76.8,51.1,30.6,12.7,153.6,Unhealthy,Italy,41.8919,12.5113
89,2023-03-30,27.4,53.9,10.1,2.7,4076.0,29.5,6.6,1.41,55.6,76.5,Summer,Rural,151.1,61.6,27.8,9.4,16.0,151.1,Unhealthy,United Kingdom,54.0,-1.5
90,2023-03-31,32.6,69.1,11.1,1.0,1929.0,43.2,10.8,1.35,33.9,66.2,Winter,Rural,96.8,56.5,40.8,15.4,15.3,96.8,Moderate,Spain,37.5,-4.5
91,2023-04-01,30.5,75.7,10.0,3.6,2689.0,51.9,18.4,0.98,61.3,87.7,Fall,Rural,154.0,67.2,49.0,26.3,11.1,154.0,Unhealthy,Poland,52.0,20.5
92,2023-04-02,34.8,64.6,15.4,0.8,2487.0,43.8,13.9,0.84,68.7,116.2,Winter,Rural,157.8,81.3,41.3,19.9,9.5,157.8,Unhealthy,Hungary,47.2,18.8
93,2023-04-03,26.5,45.0,9.6,1.5,3382.0,52.4,9.6,0.93,51.8,123.0,Fall,Urban,141.1,84.7,49.4,13.7,10.6,141.1,Unhealthy for Sensitive Groups,Czech Republic,50.088,14.4208
94,2023-04-04,28.4,50.8,11.6,3.1,2209.0,45.6,5.8,0.84,63.9,103.6,Fall,Rural,155.3,75.1,43.0,8.3,9.5,155.3,Unhealthy,Portugal,38.5,-8.0
95,2023-04-05,28.0,73.2,11.5,1.4,3277.0,44.3,18.7,1.15,61.6,101.6,Fall,Urban,154.1,74.1,41.8,26.7,13.1,154.1,Unhealthy,Austria,48.2085,16.3721
96,2023-04-06,22.7,58.3,13.7,1.6,4197.0,43.7,18.3,1.31,75.7,93.4,Spring,Urban,161.4,70.0,41.2,26.1,14.9,161.4,Unhealthy,Spain,40.4165,-3.7026
97,2023-04-07,31.5,60.8,7.6,1.7,2047.0,46.1,16.2,1.37,58.4,99.6,Fall,Rural,152.5,73.1,43.5,23.1,15.6,152.5,Unhealthy,Austria,47.5,11.5
98,2023-04-08,31.3,67.6,15.4,0.3,962.0,36.1,12.5,0.88,72.0,124.3,Spring,Rural,159.5,85.3,34.1,17.9,10.0,159.5,Unhealthy,Finland,61.0,24.0
99,2023-04-09,30.0,67.0,15.04141700404858,4.3,3815.0,27.0,9.4,0.85,55.3,93.1,Winter,Urban,149.8,69.9,25.5,13.4,9.7,149.8,Unhealthy for Sensitive Groups,North Macedonia,41.9965,21.4314
100,2023-04-10,28.8,62.8,15.7,0.0,3804.0,49.5,14.7,0.87,89.5,113.2,Fall,Urban,168.6,79.8,46.7,21.0,9.9,168.6,Unhealthy,Denmark,55.6759,12.5655
101,2023-04-11,22.9,57.9,22.7,2.6,2764.911133603239,51.6,8.4,0.42,53.4,89.4,Fall,Rural,145.1,68.0,48.7,12.0,4.8,145.1,Unhealthy for Sensitive Groups,Bosnia and Herzegovina,44.0,17.9
102,2023-04-12,27.9,56.9,21.7,2.8,4596.0,42.5,11.2,0.64,49.7,120.3,Fall,Urban,136.0,83.3,40.1,16.0,7.3,136.0,Unhealthy for Sensitive Groups,Portugal,38.7167,-9.1399
103,2023-04-13,28.3,68.6,18.9,0.1,4066.0,34.5,21.3,0.99,58.5,111.6,Winter,Rural,152.5,79.0,32.5,30.4,11.2,152.5,Unhealthy,France,49.2,0.5
104,2023-04-14,26.0,65.5,15.4,2.1,4303.0,24.4,5.7,1.11,49.1,119.4,Summer,Urban,134.5,82.9,23.0,8.1,12.6,134.5,Unhealthy for Sensitive Groups,United Kingdom,51.5074,-0.1278
105,2023-04-15,29.2,57.4,15.1,0.2,4187.0,40.9,18.4,1.15,41.3,137.6,Summer,Urban,115.3,91.9,38.6,26.3,13.1,115.3,Unhealthy for Sensitive Groups,Bulgaria,42.6975,23.3242
106,2023-04-16,32.0,70.8,18.8,4.8,4438.0,26.5,22.5,0.77,70.9,48.4,Winter,Rural,159.0,44.8,25.0,32.1,8.8,159.0,Unhealthy,North Macedonia,41.8,21.2
107,2023-04-17,39.4,58.7,13.0,0.3,3989.0,25.1,19.1,0.85,14.1,115.1,Winter,Urban,55.2,80.7,23.7,27.3,9.7,80.7,Moderate,Romania,44.4323,26.1063
108,2023-04-18,30.9,51.5,5.6,0.7,1971.0,39.8,17.0,0.92,49.2,109.4,Winter,Urban,134.7,77.9,37.5,24.3,10.5,134.7,Unhealthy for Sensitive Groups,Portugal,38.7167,-9.1399
109,2023-04-19,31.3,52.4,17.5,0.4,837.0,32.4,12.7,0.89,39.9,108.9,Summer,Urban,111.8,77.7,30.6,18.1,10.1,111.8,Unhealthy for Sensitive Groups,Poland,52.2298,21.0118
110,2023-04-20,29.6,50.2,9.3,0.7,3581.0,43.5,11.8,1.21,62.1,104.8,Spring,Rural,154.4,75.6,41.0,16.9,13.8,154.4,Unhealthy,Czech Republic,49.8,14.2
111,2023-04-21,20.4,57.3,10.2,5.2,3912.0,38.4,3.8,0.61,27.2,104.8,Winter,Rural,82.8,75.6,36.2,5.4,6.9,82.8,Moderate,France,49.2,0.5
112,2023-04-22,29.9,72.3,15.0,3.1,2764.911133603239,33.9,15.2,0.66,68.2,106.7,Summer,Urban,157.6,76.6,32.0,21.7,7.5,157.6,Unhealthy,Czech Republic,50.088,14.4208
113,2023-04-23,30.3,51.9,14.5,2.3,1476.0,23.0,13.0,0.91,69.8,118.1,Spring,Urban,158.4,82.2,21.7,18.6,10.3,158.4,Unhealthy,Belgium,50.8505,4.3488
114,2023-04-24,42.3,61.9,7.9,0.7,2745.0,31.5,11.5,0.59,35.5,116.5,Fall,Urban,101.0,81.4,29.7,16.4,6.7,101.0,Unhealthy for Sensitive Groups,Italy,41.8919,12.5113
115,2023-04-25,29.0,53.4,15.8,3.8,4568.0,31.8,14.9,0.43,62.9,99.5,Fall,Rural,154.8,73.0,30.0,21.3,4.9,154.8,Unhealthy,Czech Republic,49.8,14.2
116,2023-04-26,31.5,57.4,19.8,0.4,2203.0,27.7,15.3,0.55,67.7,96.3,Winter,Urban,157.3,71.4,26.1,21.9,6.2,157.3,Unhealthy,Austria,48.2085,16.3721
117,2023-04-27,29.8,44.9,9.4,3.6,1371.0,36.7,11.8,0.93,74.1,100.4,Spring,Rural,160.6,73.5,34.6,16.9,10.6,160.6,Unhealthy,Italy,41.6,12.3
118,2023-04-28,24.2,57.8,21.4,0.3,3909.0,28.5,23.1,1.19,38.0,91.7,Summer,Urban,107.2,69.2,26.9,33.0,13.5,107.2,Unhealthy for Sensitive Groups,Romania,44.4323,26.1063
119,2023-04-29,35.7,58.1,7.2,0.7,3089.0,38.4,18.7,1.2,35.9,135.6,Fall,Rural,102.0,90.9,36.2,26.7,13.6,102.0,Unhealthy for Sensitive Groups,Romania,46.5,24.5
120,2023-04-30,33.8,65.4,25.6,3.5,2049.0,42.4,19.5,1.48,82.5,74.6,Fall,Rural,164.9,60.7,40.0,27.9,16.8,164.9,Unhealthy,Poland,52.0,20.5
121,2023-05-01,34.0,62.2,12.9,3.7,4007.0,31.7,14.5,1.03,47.7,115.0,Summer,Rural,131.0,80.7,29.9,20.7,11.7,131.0,Unhealthy for Sensitive Groups,Finland,61.0,24.0
122,2023-05-02,25.5,48.0,15.7,3.2,4961.0,44.3,17.6,1.07,52.1,114.9,Fall,Urban,141.9,80.6,41.8,25.1,12.2,141.9,Unhealthy for Sensitive Groups,Italy,41.8919,12.5113
123,2023-05-03,37.0,70.8,5.5,0.1,3121.0,26.4,10.5,0.92,69.5,89.4,Fall,Rural,158.2,68.0,24.9,15.0,10.5,158.2,Unhealthy,Czech Republic,49.8,14.2
124,2023-05-04,23.0,62.1,14.7,1.1,2764.911133603239,28.9,18.3,0.94,42.5,105.9,Winter,Urban,118.2,76.2,27.3,26.1,10.7,118.2,Unhealthy for Sensitive Groups,North Macedonia,41.9965,21.4314
125,2023-05-05,32.9,62.0,16.1,2.3,2657.0,38.9,14.0,1.62,56.0,125.3,Spring,Urban,151.3,85.8,36.7,20.0,18.4,151.3,Unhealthy,France,48.8534,2.3488
126,2023-05-06,41.0,59.9,14.6,0.3,2856.0,46.9,9.9,1.08,73.4,93.4,Spring,Urban,160.2,70.0,44.2,14.1,12.3,160.2,Unhealthy,Sweden,59.3293,18.0686
127,2023-05-07,25.0,54.8,12.2,4.7,659.0,48.7,14.9,1.1,38.7,126.2,Spring,Urban,108.9,86.2,45.9,21.3,12.5,108.9,Unhealthy for Sensitive Groups,Italy,41.8919,12.5113
128,2023-05-08,27.2,62.2,10.3,2.8,2602.0,56.1,13.5,0.66,52.5,122.4,Spring,Rural,142.9,84.4,53.2,19.3,7.5,142.9,Unhealthy for Sensitive Groups,Denmark,55.5,12.0
